cell,rseg,weight***
2480,SL2_2480_0001,0.333333333
2480,SL2_2480_0001,0.333333333
2480,SL2_2480_0001,0.333333333
2650,EU1_2650_0001,1
2720,SL9_2720_0001,0.333333333
2720,SL9_2720_0001,0.333333333
2720,SL9_2720_0001,0.333333333
2810,EU1_2810_0001,0.5
2810,EU1_2810_0001,0.5
3060,SL2_3060_0001,1
3250,WU0_3250_0001,1
3330,WU1_3330_0001,1
3481,WU3_3481_0001,1
3482,WU1_3482_0001,1
3520,EU2_3520_0001,1
3650,WM0_3650_0001,1
3670,WU0_3670_0001,1
3740,WM0_3740_0001,1
3830,EU0_3830_0001,1
3910,WM1_3910_0001,1
3980,EM2_3980_0001,1
4060,WM3_4060_0001,1
4100,EM2_4100_0001,1
4510,PL0_4510_0001,1
4540,PL1_4540_0001,1
4562,EL0_4562_0001,1
4590,EL2_4590_0001,1
4650,XU3_4650_0001,1
4690,XL1_4690_0001,1
4780,PL1_4780_0001,1
4820,PM7_4820_0001,1
5000,PL0_5000_0001,1
5070,PL0_5070_0001,1
5130,PL1_5130_0001,1
5150,EL1_5150_0001,1
5230,PL1_5230_0001,1
5250,PL3_5250_0001,1
5270,EL2_5270_0001,1
5320,XL0_5320_0001,1
5400,EL0_5400_0001,1
5430,EL1_5430_0001,1
5490,PL0_5490_0001,1
5510,PL0_5510_0001,1
5570,EL1_5570_0001,1
5630,PL2_5630_0001,1
5690,PL1_5690_0001,1
5710,PL0_5710_0001,1
5720,PL0_5720_0001,1
5750,PL0_5750_0001,1
5830,PL0_5830_0001,1
5910,PL1_5910_0001,1
6000,EL1_6000_0001,0.5
6000,EL1_6000_0001,0.5
6030,RU5_6030_0001,1
6180,RL1_6180_0001,1
6540,RL0_6540_0001,1
6580,YL2_6580_0001,1
6620,YM4_6620_0001,1
6750,YP4_6750_0001,1
6840,YP0_6840_0001,1
7051,JB0_7051_0001,1
7052,JB0_7052_0001,1
7053,JB3_7053_0001,1
7070,JL7_7070_0001,1
7290,JA2_7290_0001,1
7480,JA5_7480_0001,1
7800,JB2_7800_0001,1
8090,JB1_8090_0001,1
3726,EU0_3726_0001,1
5767,EL0_5767_0001,1