TABLE->,PHOS-STOR1#1,PHOS-STOR1#1,PHOS-STOR1#1,PHOS-STOR1#1,PHOS-STOR1#2,PHOS-STOR1#2,PHOS-STOR1#2,PHOS-STOR1#2,PHOS-STOR1#3,PHOS-STOR1#3,PHOS-STOR1#3,PHOS-STOR1#3,PHOS-STOR1#4,PHOS-STOR1#4,PHOS-STOR1#4,PHOS-STOR1#4
VARS->,ORGP,P4AD,P4SU,PLTP,ORGP,P4AD,P4SU,PLTP,ORGP,P4AD,P4SU,PLTP,ORGP,P4AD,P4SU,PLTP
A10001,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A10003,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A10005,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A11001,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24001,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24003,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24005,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24009,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24011,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24013,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24015,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24017,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24019,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24021,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24023,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24025,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24027,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24029,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24031,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24033,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24035,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24037,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24039,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24041,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24043,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24045,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24047,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A24510,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A36003,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A36007,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A36015,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A36017,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A36023,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A36025,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A36043,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A36051,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A36053,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A36065,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A36067,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A36069,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A36077,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A36095,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A36097,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A36101,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A36107,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A36109,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A36123,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A37001,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A37005,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A37009,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A37033,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A37067,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A37077,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A37081,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A37131,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A37135,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A37145,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A37157,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A37169,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A37171,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A37181,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A37185,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A37189,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42001,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42009,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42011,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42013,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42015,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42021,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42023,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42025,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42027,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42029,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42033,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42035,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42037,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42041,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42043,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42047,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42055,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42057,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42061,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42063,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42065,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42067,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42069,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42071,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42075,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42079,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42081,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42083,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42087,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42093,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42097,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42099,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42105,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42107,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42109,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42111,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42113,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42115,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42117,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42119,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42127,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42131,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A42133,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A47091,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A47163,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51001,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51003,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51005,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51007,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51009,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51011,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51013,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51015,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51017,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51019,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51021,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51023,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51025,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51027,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51029,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51031,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51033,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51035,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51036,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51037,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51041,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51043,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51045,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51047,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51049,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51051,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51053,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51057,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51059,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51061,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51063,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51065,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51067,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51069,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51071,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51073,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51075,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51077,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51079,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51081,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51083,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51085,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51087,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51089,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51091,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51093,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51095,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51097,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51099,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51101,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51103,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51105,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51107,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51109,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51111,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51113,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51115,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51117,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51119,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51121,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51125,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51127,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51131,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51133,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51135,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51137,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51139,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51141,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51143,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51145,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51147,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51149,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51153,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51155,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51157,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51159,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51161,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51163,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51165,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51167,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51169,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51171,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51173,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51175,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51177,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51179,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51181,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51183,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51185,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51187,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51191,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51193,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51195,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51197,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51199,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51510,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51515,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51520,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51530,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51540,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51550,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51570,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51580,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51590,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51595,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51600,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51610,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51620,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
A51630,15,1,0,0,90,20,0,0,150,100,0,0,200,100,0,0
